0 		 start2 		 start2
175 		 mark 		 lwg_vaux
176 		 nmod 		 k2u
177 		 nsubj 		 k1
178 		 nummod 		 enm
179 		 acl:relcl 		 pof_cn
180 		 case 		 k1
181 		 cop 		 lwg__psp
182 		 obl 		 r6
183 		 nmod 		 lwg__psp
184 		 compound 		 nmod__adj
185 		 obj 		 nmod__adj
186 		 cc 		 k1
187 		 obl 		 lwg__psp
188 		 case 		 r6
189 		 nsubj 		 k1
190 		 nmod 		 lwg__rp
191 		 obj 		 nmod__adj
192 		 case 		 k1s
193 		 compound 		 main
194 		 conj 		 ccof
195 		 punct 		 rsym
196 		 nsubj 		 k1
197 		 obl 		 nmod__adj
198 		 case 		 k1s
199 		 nummod 		 enm
200 		 obj 		 pof_cn
201 		 dep 		 k1
202 		 acl:relcl 		 lwg__psp
203 		 aux 		 r6
204 		 punct 		 rsym
205 		 start2 		 start2
206 		 start1 		 start1
207 		 nummod 		 enm
208 		 amod 		 pof_cn
209 		 compound 		 k1
210 		 nsubj 		 k1
211 		 nummod 		 enm
212 		 compound 		 pof_cn
213 		 obl 		 k1
214 		 case 		 lwg__psp
215 		 nmod 		 r6
216 		 nmod 		 lwg__psp
217 		 punct 		 rsym
218 		 compound 		 rsym
219 		 nmod 		 rsym
220 		 punct 		 rsym
221 		 case 		 rsym
222 		 obl 		 rsym
223 		 case 		 rsym
224 		 case 		 rsym
225 		 root 		 root
226 		 aux 		 lwg_vaux
227 		 punct 		 rsym
228 		 start2 		 start2
229 		 start1 		 start1
230 		 det 		 mod_wq
231 		 obl 		 rd
232 		 case 		 lwg__psp
233 		 compound 		 lwg__psp
234 		 compound 		 pof
235 		 compound 		 main
236 		 compound 		 lwg__vaux
237 		 nsubj 		 start2
238 		 case 		 start1
239 		 nmod 		 nmod__adj
240 		 nmod 		 k1
241 		 compound 		 lwg__psp
242 		 compound 		 r6
243 		 iobj 		 k4
244 		 case 		 lwg__psp
245 		 acl 		 nmod__adj
246 		 nmod 		 nmod__adj
247 		 obl 		 pof__cn
248 		 case 		 k1
249 		 nmod 		 lwg__psp
250 		 det 		 mod_wq
251 		 obl 		 rd
252 		 case 		 lwg__psp
253 		 acl 		 lwg__psp
254 		 obl 		 pof
255 		 case 		 main
256 		 compound 		 lwg__vaux
257 		 advcl 		 rh
258 		 aux 		 nmod__adj
259 		 nmod 		 r6
260 		 nmod 		 lwg__psp
261 		 case 		 nmod__adj
262 		 nmod 		 nmod__adj
263 		 case 		 pof__cn
264 		 det 		 mod_wq
265 		 amod 		 rd
266 		 obj 		 lwg__psp
267 		 case 		 lwg__psp
268 		 compound 		 pof
269 		 root 		 root
270 		 punct 		 rsym
271 		 start2 		 start2
272 		 start1 		 start1
273 		 det 		 mod_wq
274 		 obl 		 rd
275 		 nsubj 		 lwg__psp
276 		 det 		 mod_wq
277 		 xcomp 		 k2
278 		 root 		 root
279 		 aux 		 lwg_vaux
280 		 punct 		 rsym
281 		 start2 		 start2
282 		 start1 		 start1
283 		 nsubj 		 k1
284 		 det 		 mod_wq
285 		 obl 		 rd
286 		 case 		 lwg__psp
287 		 root 		 root
288 		 mark 		 lwg_vaux
289 		 nsubj 		 k2u
290 		 dep 		 k1
291 		 nummod 		 enm
292 		 obj 		 pof_cn
293 		 case 		 k1
294 		 cop 		 lwg__psp
295 		 punct 		 rsym
296 		 obl 		 rsym
297 		 nummod 		 enm
298 		 nsubj 		 pof_cn
299 		 case 		 k1
300 		 nmod 		 lwg__psp
301 		 compound 		 r6
302 		 acl:relcl 		 lwg__psp
303 		 cc 		 k1
304 		 obl 		 lwg__psp
305 		 case 		 r6
306 		 case 		 lwg__psp
307 		 nmod 		 nmod__adj
308 		 amod 		 nmod__adj
309 		 nsubj 		 k1
310 		 case 		 lwg__psp
311 		 obj 		 r6
312 		 nummod 		 enm
313 		 obj 		 pof_cn
314 		 punct 		 rsym
315 		 dep 		 rsym
316 		 nummod 		 enm
317 		 nmod 		 pof_cn
318 		 punct 		 rsym
319 		 conj 		 ccof
320 		 aux 		 k1
321 		 punct 		 rsym
322 		 start2 		 start2
323 		 start1 		 start1
324 		 obl 		 nmod__adj
325 		 case 		 k1
326 		 acl 		 lwg__psp
327 		 obl 		 r6
328 		 case 		 lwg__psp
329 		 nsubj 		 k1
330 		 case 		 lwg__psp
331 		 nmod 		 r6
332 		 det 		 mod_wq
333 		 amod 		 rd
334 		 obj 		 lwg__psp
335 		 case 		 lwg__psp
336 		 compound 		 pof
337 		 advcl 		 rh
338 		 aux 		 lwg__vaux
339 		 root 		 root
340 		 mark 		 lwg_vaux
341 		 nmod 		 k2u
342 		 nsubj 		 k1
343 		 obj 		 lwg__psp
344 		 obl 		 r6
345 		 advcl 		 lwg__psp
346 		 obj 		 nmod__adj
347 		 punct 		 rsym
348 		 mark 		 r6-k2
349 		 nsubj 		 lwg__psp
350 		 iobj 		 k4
351 		 compound 		 lwg__psp
352 		 advcl 		 rh
353 		 punct 		 rsym
354 		 start2 		 start2
355 		 start1 		 start1
356 		 nsubj 		 k1
357 		 nmod 		 nmod__adj
358 		 nummod 		 enm
359 		 root 		 root
360 		 case 		 lwg_vaux
361 		 cop 		 k2u
362 		 punct 		 rsym
363 		 obl 		 rsym
364 		 nummod 		 enm
365 		 obl 		 pof_cn
366 		 nsubj 		 k1
367 		 obl 		 lwg__psp
368 		 acl:relcl 		 r6
369 		 cc 		 k1
370 		 nmod 		 lwg__rp
371 		 nmod 		 nmod__adj
372 		 case 		 k1s
373 		 nummod 		 enm
374 		 amod 		 pof_cn
375 		 conj 		 ccof
376 		 cop 		 lwg__vaux
377 		 punct 		 rsym
378 		 obj 		 start2
379 		 nsubj 		 start1
380 		 acl:relcl 		 nmod__adj
381 		 aux 		 k1
382 		 punct 		 rsym
383 		 start2 		 start2
384 		 start1 		 start1
385 		 nsubj 		 k1
386 		 root 		 root
387 		 mark 		 lwg_vaux
388 		 nmod 		 k2u
389 		 case 		 k1
390 		 nmod 		 lwg__psp
391 		 nmod 		 r6
392 		 case 		 lwg__psp
393 		 obj 		 nmod__adj
394 		 cop 		 nmod__adj
395 		 punct 		 rsym
396 		 start2 		 start2
397 		 start1 		 start1
398 		 mark 		 nmod__adj
399 		 obl 		 k1
400 		 case 		 lwg__psp
401 		 det 		 mod_wq
402 		 nsubj 		 rd
403 		 advcl 		 lwg__psp
404 		 punct 		 rsym
405 		 nmod 		 rsym
406 		 nsubj 		 k1
407 		 nmod 		 nmod__adj
408 		 case 		 k1s
409 		 obl 		 main
410 		 case 		 start2
411 		 case 		 start1
412 		 advcl 		 rh
413 		 aux 		 k2
414 		 punct 		 rsym
415 		 mark 		 start2
416 		 advmod 		 start1
417 		 advmod 		 nmod__adj
418 		 det 		 mod_wq
419 		 nsubj 		 rd
420 		 root 		 root
421 		 punct 		 rsym
422 		 nsubj 		 k1
423 		 obl 		 nmod__adj
424 		 case 		 k1s
425 		 amod 		 main
426 		 compound 		 start2
427 		 advcl 		 start1
428 		 acl:relcl 		 nmod__adj
429 		 aux 		 k1
430 		 punct 		 rsym
431 		 start2 		 start2
432 		 start1 		 start1
433 		 nsubj 		 k1
434 		 obj 		 nmod__adj
435 		 punct 		 rsym
436 		 conj 		 ccof
437 		 punct 		 rsym
438 		 amod 		 start2
439 		 conj 		 ccof
440 		 cop 		 lwg__vaux
441 		 punct 		 rsym
442 		 obl 		 start2
443 		 mark 		 start1
444 		 amod 		 nmod__adj
445 		 conj 		 ccof
446 		 punct 		 rsym
447 		 amod 		 start2
448 		 conj 		 ccof
449 		 punct 		 rsym
450 		 cc 		 k1
451 		 advmod 		 nmod__adj
452 		 nmod 		 k1s
453 		 amod 		 main
454 		 nmod 		 start2
455 		 case 		 start1
456 		 nsubj 		 k1
457 		 obl 		 nmod__adj
458 		 dep 		 k1s
459 		 case 		 main
460 		 root 		 root
461 		 aux 		 lwg_vaux
462 		 aux:pass 		 lwg_vaux
463 		 punct 		 rsym
464 		 start2 		 start2
465 		 start1 		 start1
466 		 nmod 		 nmod__adj
467 		 case 		 k1
468 		 det 		 mod_wq
469 		 det 		 mod_wq
470 		 root 		 root
471 		 advmod 		 lwg_vaux
472 		 cop 		 k2u
473 		 punct 		 rsym
474 		 start2 		 start2
475 		 start1 		 start1
476 		 nsubj 		 k1
477 		 nsubj 		 k1
478 		 amod 		 r6
479 		 nsubj 		 k1
480 		 punct 		 rsym
481 		 nmod 		 k1
482 		 case 		 nmod__adj
483 		 amod 		 k1s
484 		 conj 		 ccof
485 		 punct 		 rsym
486 		 compound 		 start2
487 		 conj 		 ccof
488 		 punct 		 rsym
489 		 compound 		 start2
490 		 conj 		 ccof
491 		 cc 		 k1
492 		 amod 		 r6
493 		 conj 		 ccof
494 		 nmod 		 lwg__psp
495 		 nmod 		 nmod__adj
496 		 case 		 nmod__adj
497 		 conj 		 ccof
498 		 cc 		 k1
499 		 advmod 		 r6
500 		 case 		 lwg__psp
501 		 conj 		 ccof
502 		 root 		 root
503 		 aux 		 lwg_vaux
504 		 aux:pass 		 lwg_vaux
505 		 punct 		 rsym
506 		 start2 		 start2
507 		 start1 		 start1
508 		 nmod 		 nmod__adj
509 		 nmod 		 k1
510 		 case 		 lwg__psp
511 		 nsubj 		 k1
512 		 amod 		 lwg__psp
513 		 root 		 root
514 		 cop 		 lwg_vaux
515 		 punct 		 rsym
516 		 start2 		 start2
517 		 start1 		 start1
518 		 nmod 		 nmod__adj
519 		 root 		 root
520 		 cop 		 lwg_vaux
521 		 punct 		 rsym
522 		 obl 		 rsym
523 		 case 		 rsym
524 		 nmod 		 rsym
525 		 case 		 rsym
526 		 compound 		 rsym
527 		 nsubj 		 k1
528 		 punct 		 rsym
529 		 mark 		 k1
530 		 nsubj 		 k1
531 		 nmod 		 r6
532 		 obl 		 lwg__psp
533 		 case 		 nmod__adj
534 		 acl 		 nmod__adj
535 		 aux 		 pof__cn
536 		 punct 		 rsym
537 		 start2 		 start2
538 		 start1 		 start1
539 		 nmod 		 nmod__adj
540 		 root 		 root
541 		 cop 		 lwg_vaux
542 		 punct 		 rsym
543 		 mark 		 rsym
544 		 advmod 		 rsym
545 		 dep 		 rsym
546 		 nsubj 		 k1
547 		 obl 		 nmod__adj
548 		 case 		 k1s
549 		 obj 		 main
550 		 acl 		 start2
551 		 punct 		 rsym
552 		 obl 		 rsym
553 		 case 		 rsym
554 		 acl 		 rsym
555 		 aux 		 rsym
556 		 obl 		 rsym
557 		 case 		 rsym
558 		 acl 		 rsym
559 		 aux 		 rsym
560 		 aux:pass 		 lwg_vaux
561 		 punct 		 rsym
562 		 start2 		 start2
563 		 start1 		 start1
564 		 amod 		 nmod__adj
565 		 mark 		 k1
566 		 nsubj 		 k1
567 		 advmod 		 r6
568 		 root 		 root
569 		 aux 		 lwg_vaux
570 		 aux:pass 		 lwg_vaux
571 		 punct 		 rsym
572 		 obl 		 rsym
573 		 nmod 		 rsym
574 		 obl 		 rsym
575 		 case 		 rsym
576 		 nsubj 		 k1
577 		 case 		 nmod__adj
578 		 nmod 		 k1s
579 		 amod 		 main
580 		 obl 		 start2
581 		 xcomp 		 k2
582 		 compound 		 lwg__psp
583 		 acl:relcl 		 pof
584 		 aux 		 main
585 		 punct 		 rsym
586 		 start2 		 start2
587 		 start1 		 start1
588 		 amod 		 nmod__adj
589 		 nmod 		 k1
590 		 punct 		 rsym
591 		 root 		 root
592 		 cop 		 lwg_vaux
593 		 punct 		 rsym
594 		 nsubj 		 k1
595 		 nmod 		 nmod__adj
596 		 obj 		 k1s
597 		 case 		 main
598 		 case 		 start2
599 		 amod 		 start1
600 		 obl 		 nmod__adj
601 		 case 		 k1
602 		 case 		 lwg__psp
603 		 obl 		 r6
604 		 case 		 lwg__psp
605 		 compound 		 nmod__adj
606 		 advcl 		 rh
607 		 advmod 		 lwg__psp
608 		 obj 		 lwg__psp
609 		 acl:relcl 		 pof
610 		 aux 		 main
611 		 punct 		 rsym
612 		 start2 		 start2
613 		 start1 		 start1
614 		 nsubj 		 k1
615 		 case 		 nmod__adj
616 		 nmod 		 k1s
617 		 case 		 main
618 		 obl 		 start2
619 		 case 		 start1
620 		 nsubj 		 k1
621 		 advmod 		 nmod__adj
622 		 root 		 root
623 		 punct 		 rsym
624 		 nsubj 		 k1
625 		 case 		 nmod__adj
626 		 det 		 mod_wq
627 		 obl 		 rd
628 		 nmod 		 lwg__psp
629 		 case 		 lwg__psp
630 		 compound 		 pof
631 		 advcl 		 rh
632 		 aux 		 lwg__vaux
633 		 aux:pass 		 lwg_vaux
634 		 punct 		 rsym
635 		 start2 		 start2
636 		 start1 		 start1
637 		 nsubj 		 k1
638 		 obl 		 nmod__adj
639 		 punct 		 rsym
640 		 nsubj 		 k1
641 		 obl 		 nmod__adj
642 		 obl 		 k1s
643 		 case 		 main
644 		 case 		 start2
645 		 obj 		 start1
646 		 acl:relcl 		 nmod__adj
647 		 aux 		 k1
648 		 punct 		 rsym
649 		 obl 		 k1
650 		 case 		 nmod__adj
651 		 case 		 k1s
652 		 nsubj 		 main
653 		 det 		 mod_wq
654 		 compound 		 rd
655 		 acl:relcl 		 lwg__psp
656 		 aux 		 lwg__psp
657 		 aux:pass 		 lwg_vaux
658 		 punct 		 rsym
659 		 obl 		 rsym
660 		 case 		 rsym
661 		 nsubj 		 k1
662 		 nmod 		 nmod__adj
663 		 obl 		 k1s
664 		 dep 		 main
665 		 case 		 start2
666 		 root 		 root
667 		 aux 		 lwg_vaux
668 		 aux:pass 		 lwg_vaux
669 		 punct 		 rsym
670 		 start2 		 start2
671 		 start1 		 start1
672 		 obl 		 nmod__adj
673 		 dep 		 k1
674 		 compound 		 lwg__psp
675 		 obl 		 r6
676 		 mark 		 lwg__psp
677 		 mark 		 nmod__adj
678 		 obl 		 nmod__adj
679 		 compound 		 pof__cn
680 		 obl 		 k1
681 		 mark 		 lwg__psp
682 		 dep 		 r6
683 		 obj 		 lwg__psp
684 		 root 		 root
685 		 punct 		 rsym
686 		 start2 		 start2
687 		 start1 		 start1
688 		 nmod 		 nmod__adj
689 		 case 		 k1
690 		 obl 		 lwg__psp
691 		 case 		 r6
692 		 nummod 		 enm
693 		 nsubj 		 pof_cn
694 		 root 		 root
695 		 aux 		 lwg_vaux
696 		 aux:pass 		 lwg_vaux
697 		 cc 		 k1
698 		 nsubj 		 k1
699 		 compound 		 r6
700 		 obl 		 lwg__psp
701 		 mark 		 nmod__adj
702 		 obj 		 nmod__adj
703 		 conj 		 ccof
704 		 aux 		 k2
705 		 aux:pass 		 lwg_vaux
706 		 aux:pass 		 lwg_vaux
707 		 punct 		 rsym
708 		 start2 		 start2
709 		 start1 		 start1
710 		 obl 		 nmod__adj
711 		 nmod 		 k1
712 		 nsubj 		 k1
713 		 case 		 r6
714 		 obl 		 lwg__psp
715 		 advcl 		 rh
716 		 acl:relcl 		 lwg__psp
717 		 punct 		 rsym
718 		 cc 		 k1
719 		 obj 		 nmod__adj
720 		 conj 		 ccof
721 		 punct 		 rsym
722 		 obl 		 start2
723 		 nmod 		 start1
724 		 case 		 nmod__adj
725 		 nsubj 		 k1
726 		 root 		 root
727 		 punct 		 rsym
728 		 start2 		 start2
729 		 start1 		 start1
730 		 nmod 		 nmod__adj
731 		 nummod 		 enm
732 		 amod 		 pof_cn
733 		 nsubj 		 k1
734 		 amod 		 lwg__psp
735 		 obj 		 r6
736 		 case 		 lwg__psp
737 		 root 		 root
738 		 aux 		 lwg_vaux
739 		 aux:pass 		 lwg_vaux
740 		 punct 		 rsym
741 		 start2 		 start2
742 		 start1 		 start1
743 		 advmod 		 nmod__adj
744 		 punct 		 rsym
745 		 det 		 mod_wq
746 		 amod 		 rd
747 		 obl 		 lwg__psp
748 		 case 		 lwg__psp
749 		 nsubj 		 k1
750 		 root 		 root
751 		 cc 		 k1
752 		 nmod 		 lwg__psp
753 		 compound 		 r6
754 		 conj 		 ccof
755 		 punct 		 rsym
756 		 start2 		 start2
757 		 start1 		 start1
758 		 nmod 		 nmod__adj
759 		 nmod 		 k1
760 		 case 		 lwg__psp
761 		 nsubj 		 k1
762 		 obl 		 lwg__psp
763 		 case 		 r6
764 		 obl 		 lwg__psp
765 		 case 		 nmod__adj
766 		 case 		 nmod__adj
767 		 nmod 		 pof__cn
768 		 case 		 k1
769 		 xcomp 		 k2
770 		 root 		 root
771 		 aux 		 lwg_vaux
772 		 cc 		 k1
773 		 nmod 		 lwg__psp
774 		 case 		 r6
775 		 case 		 lwg__psp
776 		 nmod 		 nmod__adj
777 		 det 		 mod_wq
778 		 conj 		 ccof
779 		 cop 		 lwg__vaux
780 		 punct 		 rsym
781 		 start2 		 start2
782 		 start1 		 start1
783 		 nsubj 		 k1
784 		 det 		 mod_wq
785 		 obl 		 rd
786 		 nmod 		 lwg__psp
787 		 case 		 lwg__psp
788 		 nummod 		 enm
789 		 nmod 		 pof_cn
790 		 case 		 k1
791 		 advmod 		 lwg__psp
792 		 amod 		 r6
793 		 compound 		 lwg__psp
794 		 compound 		 nmod__adj
795 		 xcomp 		 k2
796 		 root 		 root
797 		 aux 		 lwg_vaux
798 		 aux:pass 		 lwg_vaux
799 		 punct 		 rsym
800 		 start2 		 start2
801 		 start1 		 start1
802 		 obl 		 nmod__adj
803 		 cc 		 k1
804 		 conj 		 ccof
805 		 case 		 main
806 		 compound 		 start2
807 		 advcl 		 start1
808 		 mark 		 nmod__adj
809 		 mark 		 k1
810 		 nsubj 		 k1
811 		 nmod 		 r6
812 		 det 		 mod_wq
813 		 compound 		 rd
814 		 root 		 root
815 		 aux 		 lwg_vaux
816 		 punct 		 rsym
817 		 start2 		 start2
818 		 start1 		 start1
819 		 nsubj 		 k1
820 		 dep 		 nmod__adj
821 		 nmod 		 k1s
822 		 case 		 main
823 		 compound 		 start2
824 		 obj 		 start1
825 		 dep 		 nmod__adj
826 		 compound 		 k1
827 		 advcl 		 lwg__psp
828 		 mark 		 r6
829 		 mark 		 lwg__psp
830 		 acl 		 nmod__adj
831 		 obj 		 nmod__adj
832 		 root 		 root
833 		 aux 		 lwg_vaux
834 		 aux:pass 		 lwg_vaux
835 		 punct 		 rsym
836 		 start2 		 start2
837 		 start1 		 start1
838 		 obl 		 nmod__adj
839 		 case 		 k1
840 		 case 		 lwg__psp
841 		 obl 		 r6
842 		 case 		 lwg__psp
843 		 amod 		 nmod__adj
844 		 nsubj 		 k1
845 		 dep 		 lwg__psp
846 		 root 		 root
847 		 aux 		 lwg_vaux
848 		 aux:pass 		 lwg_vaux
849 		 punct 		 rsym
850 		 cc 		 k1
851 		 nmod 		 nmod__adj
852 		 case 		 k1s
853 		 det 		 mod_wq
854 		 det 		 mod_wq
855 		 conj 		 ccof
856 		 dep 		 lwg__vaux
857 		 cop 		 start2
858 		 obl 		 start1
859 		 case 		 nmod__adj
860 		 nmod 		 k1
861 		 case 		 lwg__psp
862 		 nsubj 		 k1
863 		 compound 		 lwg__psp
864 		 acl:relcl 		 r6
865 		 aux 		 lwg__psp
866 		 aux:pass 		 lwg_vaux
867 		 punct 		 rsym
868 		 start2 		 start2
869 		 start1 		 start1
870 		 obl 		 nmod__adj
871 		 nsubj 		 k1
872 		 obj 		 lwg__psp
873 		 obj 		 r6
874 		 nmod 		 lwg__psp
875 		 case 		 nmod__adj
876 		 compound 		 nmod__adj
877 		 obl 		 pof__cn
878 		 case 		 k1
879 		 case 		 lwg__psp
880 		 case 		 r6
881 		 root 		 root
882 		 aux 		 lwg_vaux
883 		 aux:pass 		 lwg_vaux
884 		 punct 		 rsym
885 		 start2 		 start2
886 		 start1 		 start1
887 		 obl 		 nmod__adj
888 		 case 		 k1
889 		 nsubj 		 k1
890 		 compound 		 r6
891 		 obl 		 lwg__psp
892 		 case 		 nmod__adj
893 		 case 		 nmod__adj
894 		 dep 		 pof__cn
895 		 obj 		 k1
896 		 punct 		 rsym
897 		 conj 		 ccof
898 		 punct 		 rsym
899 		 cc 		 k1
900 		 cc 		 k1
901 		 dep 		 r6
902 		 amod 		 lwg__psp
903 		 cc 		 k1
904 		 compound 		 lwg__psp
905 		 acl 		 r6
906 		 aux:pass 		 lwg_vaux
907 		 compound 		 k2u
908 		 obj 		 k1
909 		 case 		 lwg__psp
910 		 amod 		 r6
911 		 obl 		 lwg__psp
912 		 cc 		 k1
913 		 conj 		 ccof
914 		 case 		 main
915 		 compound 		 start2
916 		 root 		 root
917 		 aux 		 lwg_vaux
918 		 aux:pass 		 lwg_vaux
919 		 punct 		 rsym
920 		 start2 		 start2
921 		 start1 		 start1
922 		 obl 		 nmod__adj
923 		 nmod 		 k1
924 		 nmod 		 lwg__psp
925 		 case 		 r6
926 		 nsubj 		 k1
927 		 dep 		 lwg__rp
928 		 root 		 root
929 		 punct 		 rsym
930 		 start2 		 start2
931 		 start1 		 start1
932 		 obl 		 nmod__adj
933 		 case 		 k1
934 		 nsubj 		 k1
935 		 compound 		 r6
936 		 obl 		 lwg__psp
937 		 case 		 nmod__adj
938 		 advcl 		 rh
939 		 compound 		 lwg__psp
940 		 compound 		 lwg__psp
941 		 compound 		 pof
942 		 nmod 		 main
943 		 obl 		 lwg__vaux
944 		 case 		 start2
945 		 root 		 root
946 		 aux 		 lwg_vaux
947 		 punct 		 rsym
948 		 start2 		 start2
949 		 start1 		 start1
950 		 obl 		 nmod__adj
951 		 obl 		 k1
952 		 case 		 lwg__psp
953 		 compound 		 r6
954 		 root 		 root
955 		 punct 		 rsym
956 		 start2 		 start2
957 		 start1 		 start1
958 		 obj 		 nmod__adj
959 		 advcl 		 rh
960 		 dep 		 lwg__psp
961 		 det 		 mod_wq
962 		 dep 		 rd
963 		 det 		 mod_wq
964 		 nmod 		 rd
965 		 case 		 lwg__psp
966 		 compound 		 lwg__psp
967 		 nmod 		 pof
968 		 case 		 main
969 		 nummod 		 enm
970 		 nsubj 		 pof_cn
971 		 compound 		 k1
972 		 root 		 root
973 		 aux 		 lwg_vaux
974 		 punct 		 rsym
975 		 start2 		 start2
976 		 start1 		 start1
977 		 obl 		 nmod__adj
978 		 nsubj 		 k1
979 		 nsubj 		 k1
980 		 nummod 		 enm
981 		 nsubj:pass 		 k1
982 		 cc 		 k1
983 		 conj 		 ccof
984 		 case 		 main
985 		 case 		 start2
986 		 acl 		 start1
987 		 aux:pass 		 lwg_vaux
988 		 nmod 		 k2u
989 		 case 		 k1
990 		 obj 		 lwg__psp
991 		 root 		 root
992 		 aux 		 lwg_vaux
993 		 aux:pass 		 lwg_vaux
994 		 punct 		 rsym
995 		 start2 		 start2
996 		 start1 		 start1
997 		 obl 		 nmod__adj
998 		 case 		 k1
999 		 dep 		 lwg__psp
1000 		 obl 		 r6
1001 		 acl 		 lwg__psp
1002 		 aux:pass 		 lwg_vaux
1003 		 compound 		 k2u
1004 		 compound 		 k1
1005 		 compound 		 lwg__psp
1006 		 obl 		 r6
1007 		 case 		 lwg__psp
1008 		 advcl 		 rh
1009 		 obj 		 lwg__psp
