S.No.		UD		AnnCorra
189 		 case 		 lwg__psp
190 		 nsubj 		 k1
191 		 compound 		 lwg__psp
192 		 advcl 		 rh
193 		 mark 		 lwg__psp
194 		 mark 		 lwg__psp
195 		 compound 		 pof
196 		 advcl 		 rh
197 		 root 		 root
198 		 aux 		 lwg_vaux
199 		 punct 		 rsym
200 		 start2 		 start2
201 		 start1 		 start1
202 		 det 		 mod_wq
203 		 nmod 		 k1
204 		 case 		 lwg__psp
205 		 obj 		 r6
206 		 advcl 		 lwg__psp
207 		 mark 		 nmod__adj
208 		 mark 		 nmod__adj
209 		 obl 		 pof__cn
210 		 case 		 k1
211 		 case 		 lwg__psp
212 		 nmod 		 r6
213 		 case 		 lwg__psp
214 		 compound 		 nmod__adj
215 		 obj 		 nmod__adj
216 		 compound 		 pof__cn
217 		 nsubj 		 k1
218 		 amod 		 lwg__psp
219 		 compound 		 r6
220 		 root 		 root
221 		 aux 		 lwg_vaux
222 		 aux:pass 		 lwg_vaux
223 		 punct 		 rsym
224 		 start2 		 start2
225 		 start1 		 start1
226 		 det 		 mod_wq
227 		 nmod 		 k1
228 		 case 		 lwg__psp
229 		 compound 		 r6
230 		 nmod 		 lwg__psp
231 		 case 		 nmod__adj
232 		 amod 		 nmod__adj
233 		 nmod 		 pof__cn
234 		 compound 		 k1
235 		 nmod 		 lwg__psp
236 		 punct 		 rsym
237 		 compound 		 k1
238 		 nmod 		 nmod__adj
239 		 case 		 k1s
240 		 nmod 		 main
241 		 compound 		 start2
242 		 conj 		 ccof
243 		 punct 		 rsym
244 		 amod 		 r6
245 		 nmod 		 lwg__psp
246 		 compound 		 nmod__adj
247 		 conj 		 ccof
248 		 punct 		 rsym
249 		 amod 		 r6
250 		 nmod 		 lwg__psp
251 		 compound 		 nmod__adj
252 		 conj 		 ccof
253 		 cc 		 k1
254 		 amod 		 r6
255 		 nmod 		 lwg__psp
256 		 cc 		 k1
257 		 amod 		 lwg__psp
258 		 nmod 		 r6
259 		 compound 		 lwg__psp
260 		 compound 		 nmod__adj
261 		 conj 		 ccof
262 		 case 		 k2
263 		 det 		 mod_wq
264 		 nsubj 		 k1
265 		 root 		 root
266 		 cop 		 lwg_vaux
267 		 punct 		 rsym
268 		 start2 		 start2
269 		 start1 		 start1
270 		 nmod 		 nmod__adj
271 		 case 		 k1
272 		 obl 		 lwg__psp
273 		 case 		 r6
274 		 nmod 		 lwg__psp
275 		 case 		 nmod__adj
276 		 obl 		 nmod__adj
277 		 case 		 pof__cn
278 		 case 		 k1
279 		 nsubj 		 k1
280 		 case 		 nmod__adj
281 		 obl 		 k1s
282 		 case 		 main
283 		 nmod 		 start2
284 		 cc 		 k1
285 		 conj 		 ccof
286 		 obl 		 main
287 		 case 		 start2
288 		 obl 		 start1
289 		 case 		 nmod__adj
290 		 case 		 k1
291 		 nummod 		 enm
292 		 amod 		 nmod_adj
293 		 obj 		 k2u
294 		 case 		 lwg_psp
295 		 nmod 		 lwg_psp
296 		 mark 		 lwg_psp
297 		 compound 		 lwg_psp
298 		 root 		 root
299 		 aux 		 lwg_vaux
300 		 punct 		 rsym
301 		 start2 		 start2
302 		 start1 		 start1
303 		 nmod 		 nmod__adj
304 		 case 		 k1
305 		 obl 		 lwg__psp
306 		 case 		 r6
307 		 nsubj 		 k1
308 		 obl 		 lwg__rp
309 		 case 		 nmod__adj
310 		 obl 		 k1s
311 		 cc 		 k1
312 		 nmod 		 lwg__psp
313 		 conj 		 ccof
314 		 case 		 main
315 		 obl 		 start2
316 		 case 		 start1
317 		 case 		 nmod__adj
318 		 amod 		 k1
319 		 amod 		 lwg__psp
320 		 nmod 		 r6
321 		 case 		 lwg__psp
322 		 compound 		 nmod__adj
323 		 root 		 root
324 		 punct 		 rsym
325 		 start2 		 start2
326 		 start1 		 start1
327 		 det 		 mod_wq
328 		 nmod 		 k1
329 		 case 		 lwg__psp
330 		 obl 		 r6
331 		 case 		 lwg__psp
332 		 det 		 mod_wq
333 		 nsubj 		 k1
334 		 case 		 lwg__psp
335 		 compound 		 r6
336 		 root 		 root
337 		 nsubj 		 lwg_vaux
338 		 obl 		 lwg_psp
339 		 case 		 lwg_psp
340 		 obl 		 lwg_psp
341 		 punct 		 rsym
342 		 conj 		 ccof
343 		 cc 		 k1
344 		 conj 		 ccof
345 		 case 		 main
346 		 nmod 		 start2
347 		 obj 		 start1
348 		 case 		 nmod__adj
349 		 obj 		 k1
350 		 acl:relcl 		 lwg__psp
351 		 aux 		 r6
352 		 punct 		 rsym
353 		 start2 		 start2
354 		 start1 		 start1
355 		 compound 		 nmod__adj
356 		 nmod 		 k1
357 		 case 		 lwg__psp
358 		 compound 		 r6
359 		 compound 		 lwg__psp
360 		 nmod 		 nmod__adj
361 		 compound 		 nmod__adj
362 		 obl 		 pof__cn
363 		 case 		 k1
364 		 case 		 lwg__psp
365 		 compound 		 r6
366 		 nmod 		 lwg__psp
367 		 case 		 nmod__adj
368 		 compound 		 nmod__adj
369 		 obl 		 pof__cn
370 		 case 		 k1
371 		 nsubj 		 k1
372 		 obl 		 nmod__adj
373 		 case 		 k1s
374 		 obl 		 main
375 		 case 		 start2
376 		 case 		 start1
377 		 amod 		 nmod__adj
378 		 nsubj 		 k1
379 		 nmod 		 lwg__psp
380 		 case 		 r6
381 		 compound 		 lwg__psp
382 		 root 		 root
383 		 punct 		 rsym
384 		 start2 		 start2
385 		 start1 		 start1
386 		 det 		 mod_wq
387 		 nsubj 		 k1
388 		 compound 		 lwg__psp
389 		 nmod 		 r6
390 		 punct 		 rsym
391 		 compound 		 pof__cn
392 		 nummod 		 enm
393 		 compound 		 nmod_adj
394 		 compound 		 k2u
395 		 nsubj 		 lwg_psp
396 		 det 		 mod_wq
397 		 obl 		 k1
398 		 case 		 lwg__psp
399 		 obl 		 r6
400 		 case 		 lwg__psp
401 		 nmod 		 nmod__adj
402 		 nmod 		 nmod__adj
403 		 nummod 		 enm
404 		 obl 		 nmod_adj
405 		 advcl 		 k2u
406 		 amod 		 lwg_psp
407 		 obl 		 lwg_psp
408 		 nmod 		 lwg_psp
409 		 nmod 		 lwg_psp
410 		 nummod 		 enm
411 		 obl 		 nmod_adj
412 		 obl 		 k2u
413 		 root 		 root
414 		 punct 		 rsym
415 		 start2 		 start2
416 		 start1 		 start1
417 		 obl 		 nmod__adj
418 		 case 		 k1
419 		 nsubj 		 k1
420 		 obl 		 nmod__adj
421 		 case 		 k1s
422 		 nmod 		 main
423 		 case 		 start2
424 		 nmod 		 start1
425 		 obl 		 nmod__adj
426 		 case 		 k1
427 		 compound 		 lwg__psp
428 		 advcl 		 rh
429 		 amod 		 lwg__psp
430 		 obl 		 lwg__psp
431 		 nmod 		 pof
432 		 nmod 		 main
433 		 nummod 		 enm
434 		 obl 		 nmod_adj
435 		 obl 		 k2u
436 		 root 		 root
437 		 punct 		 rsym
438 		 start2 		 start2
439 		 start1 		 start1
440 		 det 		 mod_wq
441 		 obl 		 k1
442 		 det 		 mod_wq
443 		 iobj 		 k4
444 		 case 		 lwg__psp
445 		 nmod 		 nmod__adj
446 		 punct 		 rsym
447 		 conj 		 ccof
448 		 punct 		 rsym
449 		 conj 		 ccof
450 		 punct 		 rsym
451 		 conj 		 ccof
452 		 punct 		 rsym
453 		 conj 		 ccof
454 		 punct 		 rsym
455 		 compound 		 r6
456 		 conj 		 ccof
457 		 punct 		 rsym
458 		 compound 		 r6
459 		 conj 		 ccof
460 		 punct 		 rsym
461 		 compound 		 r6
462 		 conj 		 ccof
463 		 punct 		 rsym
464 		 conj 		 ccof
465 		 cc 		 k1
466 		 conj 		 ccof
467 		 obl 		 main
468 		 case 		 start2
469 		 compound 		 start1
470 		 root 		 root
471 		 aux:pass 		 lwg_vaux
472 		 punct 		 rsym
473 		 start2 		 start2
474 		 start1 		 start1
475 		 det 		 mod_wq
476 		 obl 		 k1
477 		 case 		 lwg__psp
478 		 nummod 		 enm
479 		 compound 		 nmod_adj
480 		 compound 		 k2u
481 		 obj 		 lwg_psp
482 		 punct 		 rsym
483 		 nummod 		 enm
484 		 nmod 		 nmod_adj
485 		 compound 		 k2u
486 		 conj 		 ccof
487 		 punct 		 rsym
488 		 nummod 		 enm
489 		 conj 		 ccof
490 		 cc 		 k1
491 		 nummod 		 enm
492 		 compound 		 nmod_adj
493 		 conj 		 ccof
494 		 root 		 root
495 		 aux:pass 		 lwg_vaux
496 		 punct 		 rsym
497 		 start2 		 start2
498 		 start1 		 start1
499 		 compound 		 nmod__adj
500 		 nmod 		 k1
501 		 case 		 lwg__psp
502 		 compound 		 r6
503 		 nmod 		 lwg__psp
504 		 case 		 nmod__adj
505 		 root 		 root
506 		 cop 		 lwg_vaux
507 		 punct 		 rsym
508 		 start2 		 start2
509 		 start1 		 start1
510 		 det 		 mod_wq
511 		 obl 		 k1
512 		 case 		 lwg__psp
513 		 nsubj 		 k1
514 		 advmod 		 lwg__psp
515 		 nmod 		 r6
516 		 obl 		 lwg__psp
517 		 case 		 nmod__adj
518 		 case 		 nmod__adj
519 		 advmod 		 pof__cn
520 		 obj 		 k1
521 		 root 		 root
522 		 aux 		 lwg_vaux
523 		 punct 		 rsym
524 		 start2 		 start2
525 		 start1 		 start1
526 		 obl 		 nmod__adj
527 		 nmod 		 k1
528 		 case 		 lwg__psp
529 		 nmod 		 r6
530 		 case 		 lwg__psp
531 		 nummod 		 enm
532 		 obl 		 nmod_adj
533 		 case 		 k2u
534 		 nmod 		 lwg_psp
535 		 nmod 		 lwg_psp
536 		 nsubj 		 lwg_psp
537 		 case 		 lwg_psp
538 		 nummod 		 enm
539 		 amod 		 nmod_adj
540 		 compound 		 k2u
541 		 compound 		 lwg_psp
542 		 root 		 root
543 		 aux 		 lwg_vaux
544 		 obl 		 lwg_psp
545 		 compound 		 lwg_psp
546 		 nsubj 		 lwg_psp
547 		 nmod 		 lwg_psp
548 		 amod 		 lwg_psp
549 		 obj 		 lwg_psp
550 		 case 		 lwg_psp
551 		 obl 		 lwg_psp
552 		 case 		 lwg_psp
553 		 acl:relcl 		 lwg_psp
554 		 aux 		 lwg_psp
555 		 aux:pass 		 lwg_vaux
556 		 aux:pass 		 lwg_vaux
557 		 aux:pass 		 lwg_vaux
558 		 punct 		 rsym
559 		 start2 		 start2
560 		 start1 		 start1
561 		 det 		 mod_wq
562 		 compound 		 k1
563 		 compound 		 lwg__psp
564 		 compound 		 r6
565 		 obl 		 lwg__psp
566 		 case 		 nmod__adj
567 		 nsubj 		 k1
568 		 obj 		 lwg__psp
569 		 case 		 r6
570 		 obl 		 lwg__psp
571 		 case 		 nmod__adj
572 		 advcl 		 rh
573 		 compound 		 lwg__psp
574 		 aux 		 lwg__psp
575 		 root 		 root
576 		 aux 		 lwg_vaux
577 		 aux:pass 		 lwg_vaux
578 		 aux:pass 		 lwg_vaux
579 		 punct 		 rsym
580 		 start2 		 start2
581 		 start1 		 start1
582 		 obl 		 nmod__adj
583 		 nsubj 		 k1
584 		 nmod 		 lwg__psp
585 		 nmod 		 r6
586 		 case 		 lwg__psp
587 		 obl 		 nmod__adj
588 		 case 		 nmod__adj
589 		 det 		 mod_wq
590 		 obj 		 k1
591 		 root 		 root
592 		 aux 		 lwg_vaux
593 		 aux:pass 		 lwg_vaux
594 		 aux:pass 		 lwg_vaux
595 		 punct 		 rsym
596 		 start2 		 start2
597 		 start1 		 start1
598 		 nsubj 		 k1
599 		 nmod 		 nmod__adj
600 		 case 		 k1s
601 		 obl 		 main
602 		 case 		 start2
603 		 obj 		 start1
604 		 advcl 		 rh
605 		 aux 		 k2
606 		 compound 		 k7t
607 		 root 		 root
608 		 aux 		 lwg_vaux
609 		 aux:pass 		 lwg_vaux
610 		 punct 		 rsym
611 		 start2 		 start2
612 		 start1 		 start1
613 		 nmod 		 nmod__adj
614 		 dep 		 k1
615 		 det 		 mod_wq
616 		 nsubj 		 k1
617 		 nsubj 		 k1
618 		 nmod 		 nmod__adj
619 		 case 		 k1s
620 		 root 		 root
621 		 cop 		 lwg_vaux
622 		 nsubj 		 k1
623 		 nmod 		 lwg__psp
624 		 case 		 r6
625 		 obl 		 lwg__psp
626 		 case 		 nmod__adj
627 		 case 		 nmod__adj
628 		 obj 		 pof__cn
629 		 case 		 k1
630 		 acl:relcl 		 lwg__psp
631 		 punct 		 rsym
632 		 cc 		 k1
633 		 nsubj 		 k1
634 		 case 		 nmod__adj
635 		 obl 		 k1s
636 		 case 		 main
637 		 case 		 start2
638 		 det 		 mod_wq
639 		 obj 		 k1
640 		 conj 		 ccof
641 		 aux 		 main
642 		 start2 		 start2
643 		 start1 		 start1
644 		 compound 		 nmod__adj
645 		 compound 		 k1
646 		 obl 		 lwg__psp
647 		 case 		 r6
648 		 compound 		 lwg__psp
649 		 nmod 		 nmod__adj
650 		 case 		 nmod__adj
651 		 obj 		 pof__cn
652 		 case 		 k1
653 		 compound 		 lwg__psp
654 		 obl 		 r6
655 		 mark 		 lwg__psp
656 		 compound 		 nmod__adj
657 		 root 		 root
658 		 aux 		 lwg_vaux
659 		 aux:pass 		 lwg_vaux
660 		 punct 		 rsym
661 		 start2 		 start2
662 		 start1 		 start1
663 		 nsubj 		 k1
664 		 case 		 nmod__adj
665 		 root 		 root
666 		 mark 		 lwg_vaux
667 		 compound 		 k1
668 		 compound 		 lwg__psp
669 		 compound 		 r6
670 		 obl 		 lwg__psp
671 		 nmod 		 nmod__adj
672 		 punct 		 rsym
673 		 dislocated 		 fragof
674 		 compound 		 ccof
675 		 obl 		 lwg__psp
676 		 case 		 nmod__adj
677 		 case 		 nmod__adj
678 		 case 		 pof__cn
679 		 acl 		 k1
680 		 aux:pass 		 lwg_vaux
681 		 nmod 		 k1
682 		 case 		 lwg__psp
683 		 obj 		 r6
684 		 case 		 lwg__psp
685 		 compound 		 nmod__adj
686 		 nmod 		 nmod__adj
687 		 mark 		 pof__cn
688 		 obj 		 k1
689 		 case 		 lwg__psp
690 		 nummod 		 enm
691 		 obl 		 nmod_adj
692 		 case 		 k2u
693 		 obj 		 lwg_psp
694 		 aux:pass 		 lwg_vaux
695 		 aux:pass 		 lwg_vaux
696 		 aux:pass 		 lwg_vaux
697 		 punct 		 rsym
698 		 start2 		 start2
699 		 start1 		 start1
700 		 nmod 		 nmod__adj
701 		 root 		 root
702 		 cop 		 lwg_vaux
703 		 mark 		 k1
704 		 compound 		 lwg__psp
705 		 nsubj 		 k1
706 		 case 		 lwg__psp
707 		 compound 		 r6
708 		 nmod 		 lwg__psp
709 		 case 		 nmod__adj
710 		 obl 		 nmod__adj
711 		 cc 		 k1
712 		 conj 		 ccof
713 		 case 		 main
714 		 nmod 		 start2
715 		 case 		 start1
716 		 det 		 mod_wq
717 		 compound 		 k1
718 		 acl:relcl 		 lwg__psp
719 		 aux 		 r6
720 		 punct 		 rsym
721 		 nmod 		 pof__cn
722 		 nsubj 		 k1
723 		 amod 		 lwg__psp
724 		 compound 		 r6
725 		 obl 		 lwg__psp
726 		 case 		 nmod__adj
727 		 iobj 		 k4
728 		 case 		 lwg__psp
729 		 advmod 		 rd
730 		 acl 		 lwg__psp
731 		 aux 		 lwg__psp
732 		 aux:pass 		 lwg_vaux
733 		 punct 		 rsym
734 		 start2 		 start2
735 		 start1 		 start1
736 		 nsubj 		 k1
737 		 case 		 nmod__adj
738 		 obl 		 k1s
739 		 compound 		 main
740 		 compound 		 start2
741 		 obl 		 start1
742 		 case 		 nmod__adj
743 		 nmod 		 k1
744 		 case 		 lwg__psp
745 		 amod 		 r6
746 		 advmod 		 lwg__psp
747 		 case 		 nmod__adj
748 		 compound 		 nmod__adj
749 		 advcl 		 rh
750 		 mark 		 lwg__psp
751 		 mark 		 lwg__psp
752 		 compound 		 pof
753 		 iobj 		 k4
754 		 case 		 lwg__psp
755 		 root 		 root
756 		 aux 		 lwg_vaux
757 		 punct 		 rsym
758 		 start2 		 start2
759 		 start1 		 start1
760 		 nsubj 		 k1
761 		 det 		 mod_wq
762 		 compound 		 k1
763 		 root 		 root
764 		 mark 		 lwg_vaux
765 		 compound 		 k1
766 		 nmod 		 lwg__psp
767 		 case 		 r6
768 		 nsubj 		 k1
769 		 compound 		 lwg__rp
770 		 advcl 		 nmod__adj
771 		 mark 		 k1s
772 		 amod 		 main
773 		 obl 		 start2
774 		 case 		 start1
775 		 det 		 mod_wq
776 		 nsubj 		 k1
777 		 acl 		 lwg__psp
778 		 cc 		 k1
779 		 advmod 		 lwg__psp
780 		 det 		 mod_wq
781 		 obj 		 k1
782 		 nsubj 		 k1
783 		 conj 		 ccof
784 		 aux 		 main
785 		 punct 		 rsym
786 		 start2 		 start2
787 		 start1 		 start1
788 		 nummod 		 enm
789 		 amod 		 nmod_adj
790 		 obl 		 k2u
791 		 case 		 lwg_psp
792 		 case 		 lwg_psp
793 		 obl 		 lwg_psp
794 		 case 		 lwg_psp
795 		 nmod 		 lwg_psp
796 		 case 		 lwg_psp
797 		 obl 		 lwg_psp
798 		 case 		 lwg_psp
799 		 nsubj 		 lwg_psp
800 		 det 		 mod_wq
801 		 obj 		 k1
802 		 advmod 		 lwg__psp
803 		 obj 		 r6
804 		 root 		 root
805 		 obl 		 lwg_vaux
806 		 amod 		 k1
807 		 obl 		 lwg__psp
808 		 case 		 r6
809 		 amod 		 lwg__psp
810 		 compound 		 nmod__adj
811 		 acl:relcl 		 nmod__adj
812 		 punct 		 rsym
813 		 start2 		 start2
814 		 start1 		 start1
815 		 obl 		 nmod__adj
816 		 nmod 		 k1
817 		 case 		 lwg__psp
818 		 nsubj 		 k1
819 		 det 		 mod_wq
820 		 obl 		 k1
821 		 case 		 lwg__psp
822 		 obj 		 r6
823 		 case 		 lwg__psp
824 		 compound 		 nmod__adj
825 		 obl 		 nmod__adj
826 		 mark 		 pof__cn
827 		 root 		 root
828 		 punct 		 rsym
829 		 start2 		 start2
830 		 start1 		 start1
831 		 obl 		 nmod__adj
832 		 case 		 k1
833 		 nsubj 		 k1
834 		 case 		 nmod__adj
835 		 amod 		 k1s
836 		 compound 		 main
837 		 dep 		 start2
838 		 root 		 root
839 		 aux 		 lwg_vaux
840 		 aux:pass 		 lwg_vaux
841 		 aux:pass 		 lwg_vaux
842 		 punct 		 rsym
843 		 start2 		 start2
844 		 start1 		 start1
845 		 compound 		 nmod__adj
846 		 advmod 		 k1
847 		 case 		 lwg__psp
848 		 amod 		 r6
849 		 compound 		 lwg__psp
850 		 nsubj 		 k1
851 		 case 		 lwg__psp
852 		 amod 		 r6
853 		 obl 		 lwg__psp
854 		 compound 		 nmod__adj
855 		 iobj 		 k4
856 		 case 		 lwg__psp
857 		 compound 		 nmod__adj
858 		 compound 		 nmod__adj
859 		 compound 		 pof__cn
860 		 obl 		 k1
861 		 case 		 lwg__psp
862 		 nmod 		 r6
863 		 obj 		 lwg__psp
864 		 root 		 root
865 		 aux 		 lwg_vaux
866 		 punct 		 rsym
867 		 start2 		 start2
868 		 start1 		 start1
869 		 mark 		 nmod__adj
870 		 obl 		 k1
871 		 case 		 lwg__psp
872 		 nmod 		 r6
873 		 case 		 lwg__psp
874 		 nsubj 		 k1
875 		 advcl 		 lwg__psp
876 		 aux 		 r6
877 		 mark 		 lwg__psp
878 		 nsubj 		 k1
879 		 amod 		 lwg__psp
880 		 compound 		 r6
881 		 compound 		 lwg__psp
882 		 nmod 		 nmod__adj
883 		 case 		 nmod__adj
884 		 compound 		 pof__cn
885 		 root 		 root
886 		 aux 		 lwg_vaux
887 		 punct 		 rsym
888 		 start2 		 start2
889 		 start1 		 start1
890 		 amod 		 nmod__adj
891 		 compound 		 k1
892 		 compound 		 lwg__psp
893 		 nsubj 		 k1
894 		 nummod 		 enm
895 		 advmod 		 nmod_adj
896 		 root 		 root
897 		 cop 		 lwg_vaux
898 		 punct 		 rsym
899 		 start2 		 start2
900 		 start1 		 start1
901 		 det 		 mod_wq
902 		 compound 		 k1
903 		 nsubj 		 k1
904 		 case 		 nmod__adj
905 		 compound 		 k1s
906 		 compound 		 main
907 		 nmod 		 start2
908 		 case 		 start1
909 		 amod 		 nmod__adj
910 		 amod 		 k1
911 		 nummod 		 enm
912 		 nmod 		 nmod_adj
913 		 case 		 k2u
914 		 obj 		 lwg_psp
915 		 nmod 		 lwg_psp
916 		 mark 		 lwg_psp
917 		 compound 		 lwg_psp
918 		 advmod 		 lwg_psp
919 		 root 		 root
920 		 aux 		 lwg_vaux
921 		 cc 		 k1
922 		 nsubj 		 k1
923 		 conj 		 ccof
924 		 aux 		 main
925 		 mark 		 start2
926 		 compound 		 start1
927 		 nsubj 		 k1
928 		 case 		 nmod__adj
929 		 case 		 k1s
930 		 nummod 		 enm
931 		 obl 		 nmod_adj
932 		 case 		 k2u
933 		 case 		 lwg_psp
934 		 case 		 lwg_psp
935 		 nummod 		 enm
936 		 obj 		 nmod_adj
937 		 obj 		 k2u
938 		 aux 		 lwg_psp
939 		 aux:pass 		 lwg_vaux
940 		 punct 		 rsym
941 		 start2 		 start2
942 		 start1 		 start1
943 		 nmod 		 nmod__adj
944 		 root 		 root
945 		 cop 		 lwg_vaux
946 		 mark 		 k1
947 		 obj 		 lwg__psp
948 		 cc 		 k1
949 		 amod 		 lwg__psp
950 		 conj 		 ccof
951 		 case 		 main
952 		 obl 		 start2
953 		 mark 		 start1
954 		 mark 		 nmod__adj
955 		 mark 		 k1
956 		 nmod 		 lwg__psp
957 		 case 		 r6
958 		 amod 		 lwg__psp
959 		 nsubj 		 k1
960 		 nsubj 		 k1
961 		 nummod 		 enm
962 		 xcomp 		 k2
963 		 advcl 		 lwg__psp
964 		 aux 		 pof
965 		 mark 		 main
966 		 obl 		 lwg__vaux
967 		 case 		 start2
968 		 case 		 start1
969 		 amod 		 nmod__adj
970 		 nsubj 		 k1
971 		 advmod 		 lwg__psp
972 		 acl 		 r6
973 		 punct 		 rsym
974 		 start2 		 start2
975 		 start1 		 start1
976 		 compound 		 nmod__adj
977 		 nsubj 		 k1
978 		 obl 		 lwg__psp
979 		 compound 		 r6
980 		 xcomp 		 k2
981 		 root 		 root
982 		 aux 		 lwg_vaux
983 		 aux:pass 		 lwg_vaux
984 		 punct 		 rsym
985 		 start2 		 start2
986 		 start1 		 start1
987 		 nmod 		 nmod__adj
988 		 dep 		 k1
989 		 nummod 		 enm
990 		 advmod 		 nmod_adj
991 		 amod 		 k2u
992 		 obl 		 lwg_psp
993 		 case 		 lwg_psp
994 		 nsubj 		 lwg_psp
995 		 obl 		 lwg_psp
996 		 case 		 lwg_psp
