hewu, obl, 1
ke maxxenajara, advcl, 1
ke maxxenajara, aux:pass, 1

ke maxxejanara, obl, 1

ke bUwe para, obl, 1

ke bUwe, conj, 1

ke bAvajUxa, obl, 29
ke bAvajUxa, advcl, 28
ke bAvajUxa, aux:pass, 5
ke bAvajUxa, nmod, 5

ke bAre meM, obl, 175
ke bAre meM, conj, 20
ke bAre meM, nmod, 16
ke bAre meM, aux:pass, 4
ke bAre meM, obj, 3
ke bAre meM, mark, 2
ke bAre meM, aux, 1

ke bAbawa, advcl, 1
ke bAbawa, obj, 1
ke bAbawa, obl, 1

ke bahAne, obl, 2
ke bahAne, obj, 1

ke bala para, obl, 2

ke barAbara, obl, 2
ke barAbara, xcomp, 1
ke barAbara, root, 1
ke barAbara, punct, 1

ke baxale meM, obl, 2

ke baxale, obl, 2
ke baxale, punct, 1
ke baxale, advcl, 1
ke baxale, nmod, 1

ke bajAya, obl, 10
ke bajAya, advcl, 6
ke bajAya, conj, 1

ke bajAe, obl, 5
ke bajAe, advcl, 1

ke PalasvarUpa, conj, 1

ke prawi, obl, 32
ke prawi, nmod, 11
ke prawi, conj, 3
ke prawi, obj, 2

ke paScAwa, obl, 1

ke pariNAmasvarUpa, obl, 5

ke nAwe, advcl, 5
ke nAwe, obl, 1
ke nAwe, conj, 1

ke xvArA, nsubj:pass, 5
ke xvArA, obl, 2
ke xvArA, conj, 2

ke wOra para, obl, 25
ke wOra para, xcomp, 1

ke wahawa, obl, 112
ke wahawa, nmod, 6
ke wahawa, conj, 6
ke wahawa, punct, 5

ke wawvAvaXAna meM, obl, 1

ke jEsA, obl, 1

ke jZrie, obl, 6

ke jariye, obl, 17
ke jariye, dep, 1
ke jariye, conj, 1
ke jariye, nmod, 1

ke jarie, obl, 79
ke jarie, conj, 5
ke jarie, punct, 1

ke calawe, obl, 32
ke calawe, advcl, 3
ke calawe, conj, 2
ke calawe, nmod, 1
ke calawe, aux:pass, 1

ke KilAPZ, obl, 15
ke KilAPZ, nmod, 4
ke KilAPZ, obj, 2
ke KilAPZ, conj, 1

ke KilAPa, obl, 156
ke KilAPa, conj, 19
ke KilAPa, nmod, 15
ke KilAPa, obj, 2
ke KilAPa, advcl, 1
ke KilAPa, punct, 1

ke KilAPZ, obl, 7

ke kAraNa, obl, 115
ke kAraNa, advcl, 67
ke kAraNa, conj, 16
ke kAraNa, aux, 10
ke kAraNa, nmod, 6
ke kAraNa, aux:pass, 3

ke evaja meM, obl, 3
ke evaja meM, advcl, 1

ke ulata, obl, 2

ke AXAra para, obl, 6

ke alAvA, obl, 46
ke alAvA, conj, 14
ke alAvA, nmod, 10
ke alAvA, advcl, 7
ke alAvA, punct, 1

ke anusAra, obl, 114
ke anusAra, nmod, 31
ke anusAra, root, 3

ke anurUpa, obl, 9

ke anukUla, obl, 2

ke aXIna, obl, 4
ke aXIna, nmod, 1

ke awirik\u200dwa, nmod, 2

ke awirikwa, nmod, 1
ke awirikwa, obl, 1

ke aMrwagawa, obl, 1

ke aMwargawa, obl, 7

ke, nmod, 6248
ke, obl, 1852
ke, conj, 462
ke, nsubj, 146
ke, punct, 115
ke, aux:pass, 57
ke, obj, 25
ke, advcl, 19
ke, dep, 15
ke, aux, 13
ke, root, 12
ke, case, 10
ke, nsubj:pass, 8
ke, amod, 6
ke, acl:relcl, 4
ke, compound, 4
ke, iobj, 4
ke, acl, 3
ke, advmod, 3
ke, nummod, 1

kI hEsiyawa se, obl, 1

kI vajaha se, obl, 37
kI vajaha se, advcl, 16
kI vajaha se, conj, 4
kI vajaha se, aux, 3
kI vajaha se, aux:pass, 1
kI vajaha se, punct, 1

kI vajaha, obl, 1
kI vajaha, nmod, 1

kI BAMwi, obl, 3
kI BAMwi, nmod, 1

kI bAbawa, obl, 3
kI bAbawa, nmod, 1
kI bAbawa, aux:pass, 1

kI baxOlawa, obl, 1

kI bajAya, obl, 4
kI bajAya, aux:pass, 1

kI bajAe, conj, 1

kI wulanA meM, obl, 15
kI wulanA meM, nmod, 1

kI warja para, obl, 1

kI waraha, obl, 38
kI waraha, punct, 3
kI waraha, advmod, 2
kI waraha, conj, 2
kI waraha, amod, 1
kI waraha, obj, 1
kI waraha, nmod, 1

kI waraPa se, obl, 1

kI jagaha, obl, 6
kI jagaha, nmod, 1

kI KAwira, obl, 2
kI KAwira, advcl, 1

kI apekRA, nmod, 2
kI apekRA, obl, 1

kI, nmod, 5588
kI, conj, 285
kI, obl, 200
kI, aux:pass, 78
kI, punct, 65
kI, aux, 21
kI, case, 10
kI, nsubj, 10
kI, amod, 8
kI, obj, 7
kI, dep, 6
kI, root, 5
kI, compound, 4
kI, nsubj:pass, 2
kI, nummod, 2
kI, xcomp, 1
kI, acl, 1
kI, mark, 1
kI, advcl, 1

kAraNa, obl, 14

kA, nmod, 2981
kA, nsubj, 282
kA, conj, 133
kA, punct, 36
kA, obl, 17
kA, aux, 14
kA, aux:pass, 14
kA, case, 5
kA, obj, 5
kA, dep, 3
kA, amod, 2
kA, compound, 2
kA, root, 1
kA, nsubj:pass, 1
kA, acl, 1
kA, xcomp, 1
kA, advmod, 1

ulata, obl, 2

alAvA, obl, 95
alAvA, nmod, 18

anusAra, obl, 3

awirikwa, nmod, 1 
